Search Word,Reference No,Validated Date,Status,Address,Summary
concrete tank,PA24/01998,Thu 28 Mar 2024,Decided,"Pendennis Castle, Barracks Block Castle Drive Falmouth Cornwall TR11 4LP","Replace the existing gas boilers and plant that serves the Barracks Block with an Air Source Heat Pump (ASHP) located to the north within the rampart Externally, to the north of the Barracks Block: - to the east of the fire fighting tank to install a local concrete slabs for the bin storage area with an enclosing metal fence - to the west of the fire fighting tank to install a local concrete slabs with an enclosing metal fence, and two ASHP's - to provide below ground service routes between the ASHP's and the central turret of the Barracks Block. Inside the Barracks Block: - to remove redundant plant and equipment from service ducts and within the turret room (plant room) - to upgrade the floor construction to the turret room (plant room) and provide a fire lobby to the plant room - to install insulation within the floor construction to improve the thermal performance of the building - to install additional pipework and radiators within the Barracks Block - to undertake local repointing and repairs within the turret room and to the roof access turret"
concrete tank,PA22/06095,Fri 01 Jul 2022,Decided,19 Tregoney Hill Mevagissey Cornwall PL26 6RD,"Listed building consent to Strip off old plaster and take up old concrete floor, install tanking system, replace floor and walls and seal porous external blockwork."
concrete tank,PA22/06094,Fri 01 Jul 2022,Decided,19 Tregoney Hill Mevagissey Cornwall PL26 6RD,"Strip off old plaster and take up old concrete floor, Install tanking system, replace floor and walls and seal porous external blockwork."
concrete tank,PA22/01877,Tue 08 Mar 2022,Decided,Outbuilding Land At Whitehall Scorrier Cornwall TR16 5BB,"Proposed conversion and extension of existing redundant outbuilding to form a single dwelling, removal of existing concrete base foundation and timber framed workshop building and installation of a septic tank"
concrete tank,PA21/08960,Fri 03 Sep 2021,Decided,7 Penrose Terrace Penzance TR18 2HQ,Listed Building Consent for removal of existing slate floor and installation of concrete subfloor with DPM to link with basement wall tanking. Slates to be relaid in same configuration.
concrete tank,PA21/04191,Tue 20 Apr 2021,Decided,West Balsdon Farm Whitstone Holsworthy EX22 6LE,Prior Notification for a below ground slurry lagoon (50m x 40m x 3m) and construct a sealed concrete tank
concrete tank,PA17/10096,Mon 23 Oct 2017,Decided,Land Adjacent To Plot 5 Aerohub Business Park St Mawgan Newquay Cornwall TR8 4HP,The construction of 3 small concrete water tanks containing pumping equipment to supply a demonstration rig on the adjacent Aerohub Plot 5 with associated pipework and access footpaths
concrete tank,PA17/06969,Wed 30 Aug 2017,Decided,Garden Nursery Lanhydrock Bodmin Cornwall PL30 5AD,"Hot compost facility comprising of four bays built using timber sleepers slotted between galvanised steel columns on a reinforced concrete base which drains into a leachate tank, with a concrete hardstanding in front."
concrete tank,PA17/06970,Wed 30 Aug 2017,Decided,Garden Nursery Lanhydrock Bodmin Cornwall PL30 5AD,"Listed building consent for hot compost facility comprising of four bays built using timber sleepers slotted between galvanised steel columns on a reinforced concrete base which drains into a leachate tank, with a concrete hardstanding in front."
concrete tank,PA14/11482,Tue 02 Dec 2014,Decided,Trevalon St Keyne Liskeard Cornwall PL14 4RS,"Retrospective planning application for erection of pole barn and various polytunnels, extension to barn with concrete hardstanding, external works namely hardcore access tracks, gateways and provision of septic tank, provision of portable buildings namely office/restroom and changing room toilet/washing facilities, retention of static caravan and two touring vans all to augment the existing business activities currently undertaken at Trevalon Farm."
concrete tank,PA14/11121,Wed 26 Nov 2014,Decided,Goodvue High Lanes Cubert Cornwall TR8 5PX,"Building of a 12m x5m block/ timber / upvc insulated home office, gym/ shower room and play room. Concrete foundations and waste drainage to existing septic tank. There will be no separate access. Rainwater will be in an adjacent soak away. To be built in the garden within the resrictions of a permitted development ie for the enjoyment of the existing household. Eaves of the roof will be more than 2 metres from any boundary."
concrete tank,PA14/07829,Mon 18 Aug 2014,Decided,Trewassa Sewage Treatment Works Wassa Lane Davidstow Camelford Cornwall PL39 9YG,Non-material amendment to application no. PA14/01664 dated 13/06/14 to include diameter and change material from steel to concrete tanks.
concrete tank,PA14/04462,Mon 12 May 2014,Decided,Land Adjacent To The A38 New Road Liskeard Cornwall PL14 4JS,GRP Cabinet to house electrical control equipment and re-profiling the existing ground following the installation of a pre-formed underground concrete tank constructed under permitted development.
concrete tank,PA13/09491,Tue 29 Oct 2013,Decided,100 Gwithian Towans Gwithian Cornwall TR27 5BU,Demolition of existing timber frame/concrete block chalet. Replacement timber frame dwelling of single storey design and replacement/relocation of pipework to existing septic tank
concrete tank,PA13/04393,Fri 17 May 2013,Decided,Trengothal St Levan Penzance Cornwall TR19 6NB,Retention of excavations and removal of existing underground fuel tanks and replace with underground concrete structure to hold bunded fuel tanks together with construction of small steel building erected above
concrete tank,PA13/02785,Mon 11 Nov 2013,Decided,St. Clements House St. Clements Terrace Mousehole Penzance TR19 6SJ,Retention of existing domestic oil storage tank and exhaust flue for boiler. Renovation of existing external shed. Retention of existing kitchen door. External painting of woodwork and drains. Replacement of concrete block wall in garden with metal railings to match existing found on external stairs. Construction of cover for storage tank.
concrete tank,PA13/02786,Mon 11 Nov 2013,Decided,St. Clements House St. Clements Terrace Mousehole Penzance TR19 6SJ,Listed Building Consent in respect of the retention of existing domestic oil storage tank and exhaust flue for boiler. Renovation of existing external shed. Retention of existing kitchen door. External painting of woodwork and drains. Replacement of concrete block wall in garden with metal railings to match existing found on external stairs. Construction of oil tank surround.
concrete tank,PA12/09610,Tue 20 Nov 2012,Decided,Land At Sticker Reservoir Rose Hill Sticker Cornwall,Conversion of Sticker Underground Concrete Water storage tank to residential use. 010090883343
concrete tank,PA12/00719,Wed 25 Jan 2012,Decided,Land At NGR SW9447060398 Goss Moor St Columb Cornwall,Application for prior notification for proposed cattle feeding building with underground concrete slurry storage tank
concrete tank,PA11/08067,Mon 26 Sep 2011,Decided,Higher Pennycrocker St Juliot Boscastle Cornwall PL35 0BY,Proposed livestock building over a pre-cast concrete slatted slurry tank and associated works consisting of landscaping banking etc. to screen the building
concrete tank,PA10/07009,Mon 13 Dec 2010,Decided,South West Water Drift Water Treatment Works Lower Drift Buryas Bridge Penzance Cornwall TR20 8QD,"Demolition of circular reinforced concrete storage tank, siting of steel portal framed building to house 4 concrete tanks, a GRP kiosk for electrical control, a Clean Backwash Tank, 2 air blowers, Transfer Pump Station and GRP kiosk to house new distribution board"
concrete tank,E2/10/00658/LBC,Fri 30 Apr 2010,Decided,The Orangery Restaurant Mount Edgcumbe Country Park Cremyll Torpoint Cornwall PL10 1JB,Listed Building Consent for the formation of heating duct through external wall of the Orangery and construction of timber cover for external gas heater. Construction of chiller room and provision of concrete base and gas storage tank
concrete tank,E1/2008/01842,Tue 23 Sep 2008,Decided,"Lowermoor Water Treatment Works,Advent",Improvements to the water treatment works including:- erection of a new steel frame building to accommodate new secondary filters; erection of a glass reinforced plastic kiosk to accommodate associated electrical equipment and controls; construction of a new concrete water storage tank for use in the new process [ card 0062 adv ]
concrete tank,NR/08/00069/CCDEV3,Thu 31 Jan 2008,Decided,Newquay Cornwall Airport Carloggas St Mawgan Newquay Cornwall TR8 4RQ,"The provision of a new Fire Training Rig Facility comprising a full scale aircraft rig with concrete drainage aprons, control building, storage building, water and LPG fuel storage tanks and drainage water treatment equipment. The development to include replacement bat roosts."
concrete tank,E2/08/00055/LBC,Tue 22 Jan 2008,Decided,Buildings At Cremyll Quay Torpoint Cornwall,"Listed building consent for the refurbishment of two structures and sheds and the removal of diesel storage tank and fuel dispenser, GRP ice cream kiosk, low level concrete block store and overhead cables. Temporary replacement of diesel storage tank."
concrete tank,C2/08/00093,Fri 25 Jan 2008,Unknown,St Gomanda's Church Fore Street Roche PL26 8EP Cornwall,"Removal of old oil tank, installation of a concrete base and fitting of new bunded plastic oil tank."
concrete tank,E1/2006/02369,Thu 30 Nov 2006,Decided,Trehane Farm Trevalga Boscastle Cornwall PL35 0EB,"Erection of an agricultural building incorporating milking parlour, dairy, handling area and calving pens; construction of concrete pad for external bulk and create roadway and turning area for milk tanker access [ card 0014 tva ]"
concrete tank,C1/PA12/0951/06/B,Tue 16 May 2006,Decided,Penventon Treviskey Lanner Redruth Cornwall TR16 6AS,"Retention of small concrete block building containing water pump & electrics, 2NO. Water tanks on concrete base sites: 120016,"
concrete tank,E1/2003/01827,Tue 26 Aug 2003,Decided,"Central Group Centre,Castle Canyke Road,Bod,Bodmin",Formation of concrete drainage slab to receive and treat water form road gully tanks and erection of 1.2m high walls [ card 0291 bod ]
concrete tank,NR/03/00259/CCDEV3,Thu 07 Aug 2003,Decided,Central Group Office Castle Canyke Road Bodmin Cornwall PL31 1DZ,Concrete drainage slab to receive and treat water from road gully tanks and construction of 1.2m high walls
concrete tank,W1/02/P/0242,Fri 26 Apr 2002,Decided,Sennen Cove Hotel Marias Lane Sennen,"Construction of external precast concrete steps,location of four oil tanks, and installation of two pvcu double glazed french windows Head No(s): 19066"
concrete tank,E1/2002/0103,Wed 16 Jan 2002,Decided,National Trust Shop And Tea Room Carnewas St Eval,Installation of two underground concrete rainwater storage tanks for reclaimed water scheme [ card 0103 evl ]
concrete tank,E2/00/00960/FG,Wed 30 Aug 2000,Decided,Thanckes Oil Fuel Depot Antony Road Torpoint Cornwall,"Circular 18/84 consultation for construction of replacement waste water treatment plant, alteration of concrete bunds, installation /alteration of pipework/pipelines including repairs to existing tanks."
concrete tank,C2/99/00096,Thu 28 Jan 1999,Decided,"Trelavour Works, St Dennis","CONSTRUCTION OF FIVE CIRCULAR CONCRETE CLAY STORAGE TANKS TO REPLACE TWO EXISTING STEEL STRUCTURES; ERECTION OF REPLACEMENT BLEACHING PLANT BUILDING, NEW PLANT AND MACHINERY AND COVERED TANKS AND PUMPS BUILDINGS; BLENDING TANK AND CONCRETE TANK."
