Search Word,Reference No,Validated Date,Status,Address,Summary
concrete tank,2021/0515,Mon 08 Mar 2021,Decided,Poultry Farm Road Green Hempnall NR15 2NH,"Demolition of 8 No. existing poultry sheds and erection of 6 No. replacement poultry sheds, together with control rooms, feed bins, concrete apron, dirty water tanks and drainage attenuation pond."
concrete tank,20191210,Tue 30 Jul 2019,Decided,Church Farm 9 Great Hautbois Road Coltishall NR12 7JW,Variation of Conditions 2 and 5 of Planning Permission 20031474 - Change Rearing of Poultry to Rearing of Swine and Provision of External Concrete Muck Pad with Dirty Water Drains and Tanks
concrete tank,20080022,Fri 04 Jan 2008,Decided,Norwich International Airport Amsterdam Way Norwich.Site Adjacent Petans Sea Survival & Training,Construct Fuel Storage Concrete Slab To Accommodate Three 4000 Litre LPG Storage Tanks & One 5000 Litre Kerosene Storage Tank
concrete tank,010019,Mon 08 Jan 2001,Decided,Unit 10 Fitzmaurice Court Rackheath.,Installation Of Concrete Base To Site Oil Storage Tank (Retrospective Application)
concrete tank,783138,Fri 22 Dec 1978,Decided,Reepham Road Attlebridge.,"Mobile Home, Concrete Pard And Septic Tank - Appeal Dismissed 20.7.79"
concrete tank,780797,Wed 05 Apr 1978,Decided,Reepham Road Swannington.,Residential Caravan On Concrete Pad With Septic Tank
anaerobic,2025/1631,Tue 27 May 2025,Pending Consideration,Oulton Airfield The Street Oulton Norfolk,"Request for EIA screening Opinion under the Town and Country Planning (Environmental Impact Assessment) Regulations 2017 - Proposed anaerobic digestion plant, landscaping and associated infrastructure works"
anaerobic,2023/1375,Fri 26 May 2023,Decided,Deal Farm Kenninghall Road Bressingham Norfolk IP22 2HG,Demolition and removal of an anaerobic digestion facility and the construction of another anaerobic digestion facility in accordance with planning permission 2015/0595
anaerobic,2023/0087,Tue 06 Jun 2023,Withdrawn,Deal Farm Kenninghall Road Bressingham Norfolk IP22 2HG,"Construction of an Anaerobic Digestion facility (part retrospective), comprising: 1 no. digester tank and 1 no. secondary digester/digestate storage tank, silage clamps, liquid and dry feed system; digestate separation, handling and pasteurization, biogas upgrading and mains gas-grid connection; carbon capture, CHP, agricultural building; office buildings, weighbridge, up to 2 no. covered digestate storage lagoons, and associated works and infrastructure, plant, vehicular accesses, roads and landscaping (including earth bunds). (Revised application following refusal of planning application 2022/1108, to include revised digester roof design and lagoon options)"
anaerobic,2022/1627,Wed 17 Aug 2022,Decided,Whitehall Farm Crownthorpe Road Crownthorpe Norfolk NR18 9EP,"Combined heat and power units, digestate lagoon, new asphalt pad, and revisions to digester tank and mixers, in association with existing crop-only biomass (anaerobic digestion) renewable energy facility"
anaerobic,2022/1108,Thu 23 Jun 2022,Decided,Deal Farm Kenninghall Road Bressingham Norfolk IP22 2HG,"Construction of an Anaerobic Digestion facility (part retrospective), comprising: 1 no. digester tank and 1 no. secondary digester/digestate storage tank, silage clamps, liquid and dry feed system; digestate separation, handling and pasteurization, biogas upgrading and mains gas-grid connection; carbon capture, CHP, agricultural building; office buildings, weighbridge, 2 no. covered digestate storage lagoons, and associated plant, vehicular accesses, roads and landscaping (including earth bunds). Revised application following withdrawn planning application 2021/2788."
anaerobic,2021/2788,Thu 23 Dec 2021,Withdrawn,Deal Farm Kenninghall Road Bressingham Norfolk IP22 2HG,"Construction of an Anaerobic Digestion facility (part retrospective), comprising 1 no. digester tank and 1 no. secondary digester/digestate storage tank, silage clamps, liquid and dry feed system, digestate separation, handling and pasteurization, biogas upgrading and mains gas-grid connection, carbon capture, CHP. Agricultural building, office buildings, weighbridge; 3 no. covered digestate storage lagoons, and associated plant, vehicular accesses, roads and landscaping (including earth bunds)"
anaerobic,20211320,Tue 06 Jul 2021,Decided,Cantley Sugar Factory Station Road Cantley NR13 3ST,"Installation of a Waste Water Treatment Facility to ensure waste water returning to the River Yare is compliant with the Environment Agency BREF Framework. The installation will comprise of: 1) Anaerobic Digester, 2) Aerobic Digestion, and include associated settlement tanks, pumps and pipework and service buildings"
anaerobic,2017/0001,Mon 16 Jan 2017,Decided,Land North Of High Common Morley St Botolph Norfolk,"Full Application - proposed anaerobic digestion renewable energy unit, landscaping vehicular access and associated works"
anaerobic,2015/2926,Mon 21 Dec 2015,Decided,Oil Storage Depot Stanfield Road Wymondham Norfolk NR18 9QY,Screening opinion for anaerobic digestion plant and feedstock facility.
anaerobic,2015/2913,Tue 22 Dec 2015,Decided,Oil Storage Depot Stanfield Road Wymondham Norfolk NR18 9QY,"Installation of anaerobic digestion plant to produce biogas with two digesters, holding clamps, use of existing fuel tanks for digestate storage, gas compressor and cleaner and underground pipeline to gas grid"
anaerobic,20151560,Wed 30 Sep 2015,Decided,Honingham Thorpe Farm Norwich Road Honingham NR9 5BZ,Anaerobic Digestion Plant consisting of 1 No Digester & 2 No CHP Units - Prior Notification
